ha	dddd d MMMM, yyyy	d MMMM, yyyy	d/M/yyyy	d MMM, yyyy	yyyy-MM-dd	d/M/yy	MMMM yyyy	MMMM d	HH:mm:ss	HH:mm
ha-gh	dddd d MMMM, yyyy	d MMMM, yyyy	d/M/yyyy	d MMM, yyyy	yyyy-MM-dd	d/M/yy	MMMM yyyy	MMMM d	h:mm:ss tt	h:mm tt
ha-ne	=	ha
ha-ng	=	ha
haw	dddd, d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	yyyy MMMM	MMMM d	h:mm:ss tt	h:mm tt
haw-us	=	haw
he	dddd, d בMMMM yyyy	d בMMMM yyyy	d.M.yyyy	d בMMM yyyy	MMMM yyyy	d בMMMM	H:mm:ss	H:mm
he-il	=	he
hi	dddd, d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
hi-in	=	hi
hi-latn	dddd, d MMMM yyyy	d MMMM, yyyy	dd/MM/yyyy	dd MMM, yyyy	d/M/yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
hi-latn-in	=	hi-latn
hr	dddd, d. MMMM yyyy.	d. MMMM yyyy.	dd. MM. yyyy.	d. MMM yyyy.	MMMM yyyy.	d. MMMM	HH:mm:ss	HH:mm
hr-ba	dddd, d. MMMM yyyy.	d. MMMM yyyy.	d. M. yyyy.	d. MMM yyyy.	dd. MM. yyyy.	d. M. yy.	MMMM yyyy.	d. MMMM	HH:mm:ss	HH:mm
hr-hr	=	hr
hsb	dddd, d. MMMM yyyy	d. MMMM yyyy	d.M.yyyy	d.M.yy	MMMM yyyy	d. MMMM	H:mm:ss	H:mm 'hodź'.
hsb-de	=	hsb
hu	yyyy. MMMM d., dddd	yyyy. MMMM d.	yyyy. MM. dd.	yyyy. MMM d.	yyyy. MMMM	MMMM d.	H:mm:ss	H:mm
hu-hu	=	hu
hy	yyyy թ. MMMM d, dddd	dd MMMM, yyyy թ.	dd.MM.yyyy	dd MMM, yyyy թ.	dd.MM.yy	yyyy թ․ MMMM	d MMMM	HH:mm:ss	HH:mm
hy-am	=	hy
ia	dddd 'le' d 'de' MMMM yyyy	d 'de' MMMM yyyy	dd-MM-yyyy	d MMM yyyy	MMMM yyyy	d 'de' MMMM	HH:mm:ss	HH:mm
ia-001	=	ia
id	dddd, dd MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	d/M/yyyy	dd/MM/yy	MMMM yyyy	d MMMM	HH.mm.ss	HH.mm
id-id	=	id
ie	dddd d MMMM yyyy	d MMMM yyyy	d.M.yyyy	d MMM yyyy	d.M.yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
ie-ee	=	ie
